Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,laisser,let
11,11,car,because
12,12,mettre,to put
13,13,aucun,no
14,14,laisse,leash
15,15,eux,them
16,16,ville,city
17,17,chaque,each
18,18,parlé,speak
20,20,devrait,should
21,21,bébé,baby
24,24,vont,will
25,25,pendant,while
26,26,revoir,meet again
27,27,aucune,any
28,28,place,square
29,29,parle,speak
30,30,compris,understood
31,31,savais,knew
32,32,étaient,were
33,33,attention,Warning
34,34,voici,here is
35,35,pourrais,could
36,36,affaire,case
37,37,donner,give
38,38,type,type
39,39,leurs,their
40,40,donné,given
42,42,corps,body
43,43,endroit,place
44,44,yeux,eyes
45,45,façon,way
46,46,écoute,listen
47,47,dont,whose
48,48,trouve,find
49,49,premier,first
50,50,perdu,lost
51,51,main,hand
52,52,première,first
53,53,côté,side
54,54,pouvoir,power
55,55,vieux,old
56,56,sois,be
57,57,tiens,here
58,58,matin,morning
59,59,tellement,so much
60,60,enfant,child
61,61,point,point
62,62,venu,came
63,63,suite,after
65,65,venez,come
66,66,devant,in front of
67,67,vers,towards
68,68,minutes,minutes
69,69,demandé,request
70,70,chambre,bedroom
71,71,mis,placed
72,72,belle,beautiful
73,73,droit,law
74,74,aimerais,would like to
75,75,aujourd'hui,today
76,76,mari,husband
77,77,cause,cause
78,78,enfin,finally
79,79,espère,hope
80,80,eau,water
81,81,attendez,Wait
82,82,parti,left
83,83,nouvelle,new
84,84,boulot,job
85,85,arrêter,Stop
86,86,dirait,would say
87,87,terre,Earth
88,88,compte,account
89,89,donne,given
90,90,loin,far
93,94,gros,large
94,95,plutôt,rather
95,96,aura,will have
96,97,filles,girls
97,98,jouer,to play
98,99,bureau,office
